,session_key,meeting_key,driver_number,date,position
138,9472,1229,24,2024-03-02T15:23:54.484000+00:00,15
139,9472,1229,18,2024-03-02T15:23:56.497000+00:00,16
140,9472,1229,20,2024-03-02T15:23:56.497000+00:00,17
141,9472,1229,4,2024-03-02T15:25:02.671000+00:00,3
142,9472,1229,11,2024-03-02T15:25:02.671000+00:00,4
143,9472,1229,11,2024-03-02T15:25:06.699000+00:00,5
144,9472,1229,14,2024-03-02T15:25:06.699000+00:00,4
145,9472,1229,81,2024-03-02T15:25:06.699000+00:00,6
146,9472,1229,11,2024-03-02T15:25:09.093000+00:00,6
147,9472,1229,22,2024-03-02T15:25:09.093000+00:00,5
148,9472,1229,44,2024-03-02T15:25:09.093000+00:00,8
149,9472,1229,81,2024-03-02T15:25:09.093000+00:00,7
150,9472,1229,11,2024-03-02T15:25:11.288000+00:00,7
151,9472,1229,23,2024-03-02T15:25:11.288000+00:00,6
152,9472,1229,44,2024-03-02T15:25:11.288000+00:00,9
153,9472,1229,81,2024-03-02T15:25:11.288000+00:00,8
154,9472,1229,3,2024-03-02T15:25:16.275000+00:00,11
155,9472,1229,11,2024-03-02T15:25:16.275000+00:00,8
156,9472,1229,44,2024-03-02T15:25:16.275000+00:00,10
157,9472,1229,63,2024-03-02T15:25:16.275000+00:00,7
158,9472,1229,81,2024-03-02T15:25:16.275000+00:00,9
159,9472,1229,3,2024-03-02T15:25:18.300000+00:00,12
160,9472,1229,10,2024-03-02T15:25:18.300000+00:00,13
161,9472,1229,16,2024-03-02T15:25:18.300000+00:00,9
162,9472,1229,44,2024-03-02T15:25:18.300000+00:00,11
163,9472,1229,81,2024-03-02T15:25:18.300000+00:00,10
164,9472,1229,3,2024-03-02T15:25:19.740000+00:00,10
165,9472,1229,44,2024-03-02T15:25:19.740000+00:00,12
166,9472,1229,81,2024-03-02T15:25:19.740000+00:00,11
167,9472,1229,10,2024-03-02T15:25:31.903000+00:00,14
168,9472,1229,24,2024-03-02T15:25:31.903000+00:00,13
169,9472,1229,77,2024-03-02T15:25:31.903000+00:00,15
170,9472,1229,10,2024-03-02T15:25:33.710000+00:00,15
171,9472,1229,18,2024-03-02T15:25:33.710000+00:00,14
172,9472,1229,77,2024-03-02T15:25:33.710000+00:00,16
173,9472,1229,10,2024-03-02T15:25:34.459000+00:00,16
174,9472,1229,20,2024-03-02T15:25:34.459000+00:00,15
175,9472,1229,77,2024-03-02T15:25:34.459000+00:00,17
176,9472,1229,10,2024-03-02T15:25:36.904000+00:00,17
177,9472,1229,31,2024-03-02T15:25:36.904000+00:00,16
178,9472,1229,77,2024-03-02T15:25:36.904000+00:00,18
179,9472,1229,10,2024-03-02T15:25:42.372000+00:00,18
180,9472,1229,27,2024-03-02T15:25:42.372000+00:00,17
181,9472,1229,77,2024-03-02T15:25:42.372000+00:00,19
182,9472,1229,4,2024-03-02T15:26:45.326000+00:00,4
183,9472,1229,14,2024-03-02T15:26:45.326000+00:00,3
184,9472,1229,4,2024-03-02T15:26:50.268000+00:00,5
185,9472,1229,22,2024-03-02T15:26:50.268000+00:00,4
186,9472,1229,4,2024-03-02T15:26:50.290000+00:00,6
187,9472,1229,23,2024-03-02T15:26:50.290000+00:00,5
188,9472,1229,4,2024-03-02T15:26:52.469000+00:00,7
189,9472,1229,11,2024-03-02T15:26:52.469000+00:00,6
190,9472,1229,63,2024-03-02T15:26:52.469000+00:00,8
191,9472,1229,4,2024-03-02T15:26:53.936000+00:00,8
192,9472,1229,63,2024-03-02T15:26:53.936000+00:00,7
193,9472,1229,4,2024-03-02T15:26:54.922000+00:00,9
194,9472,1229,16,2024-03-02T15:26:54.922000+00:00,8
195,9472,1229,3,2024-03-02T15:27:02.452000+00:00,11
196,9472,1229,81,2024-03-02T15:27:02.452000+00:00,10
197,9472,1229,3,2024-03-02T15:27:04.916000+00:00,12
198,9472,1229,44,2024-03-02T15:27:04.916000+00:00,11
199,9472,1229,3,2024-03-02T15:27:09.327000+00:00,13
200,9472,1229,24,2024-03-02T15:27:09.327000+00:00,12
201,9472,1229,3,2024-03-02T15:27:11.408000+00:00,14
202,9472,1229,18,2024-03-02T15:27:11.408000+00:00,13
203,9472,1229,3,2024-03-02T15:27:12.091000+00:00,15
204,9472,1229,20,2024-03-02T15:27:12.091000+00:00,14
205,9472,1229,3,2024-03-02T15:27:14.411000+00:00,16
206,9472,1229,31,2024-03-02T15:27:14.411000+00:00,15
207,9472,1229,10,2024-03-02T15:27:22.430000+00:00,19
208,9472,1229,77,2024-03-02T15:27:22.430000+00:00,18
209,9472,1229,14,2024-03-02T15:28:26.320000+00:00,2
210,9472,1229,55,2024-03-02T15:28:26.320000+00:00,3
211,9472,1229,11,2024-03-02T15:28:29.313000+00:00,3
212,9472,1229,22,2024-03-02T15:28:29.313000+00:00,5
213,9472,1229,23,2024-03-02T15:28:29.313000+00:00,6
214,9472,1229,55,2024-03-02T15:28:29.313000+00:00,4
215,9472,1229,22,2024-03-02T15:28:30.769000+00:00,6
216,9472,1229,23,2024-03-02T15:28:30.769000+00:00,7
217,9472,1229,55,2024-03-02T15:28:30.769000+00:00,5
218,9472,1229,63,2024-03-02T15:28:30.769000+00:00,4
219,9472,1229,22,2024-03-02T15:28:31.478000+00:00,7
220,9472,1229,23,2024-03-02T15:28:31.478000+00:00,5
221,9472,1229,55,2024-03-02T15:28:31.478000+00:00,6
222,9472,1229,16,2024-03-02T15:28:31.703000+00:00,6
223,9472,1229,22,2024-03-02T15:28:31.703000+00:00,8
224,9472,1229,55,2024-03-02T15:28:31.703000+00:00,7
225,9472,1229,4,2024-03-02T15:28:37.388000+00:00,8
226,9472,1229,22,2024-03-02T15:28:37.388000+00:00,9
227,9472,1229,22,2024-03-02T15:28:39.182000+00:00,10
228,9472,1229,81,2024-03-02T15:28:39.182000+00:00,9
229,9472,1229,22,2024-03-02T15:28:42.195000+00:00,11
230,9472,1229,44,2024-03-02T15:28:42.195000+00:00,10
231,9472,1229,22,2024-03-02T15:28:46.855000+00:00,12
232,9472,1229,24,2024-03-02T15:28:46.855000+00:00,11
233,9472,1229,18,2024-03-02T15:28:48.848000+00:00,12
234,9472,1229,22,2024-03-02T15:28:48.848000+00:00,13
235,9472,1229,11,2024-03-02T15:30:05.086000+00:00,2
236,9472,1229,14,2024-03-02T15:30:05.086000+00:00,3
237,9472,1229,14,2024-03-02T15:30:07.342000+00:00,4
238,9472,1229,63,2024-03-02T15:30:07.342000+00:00,3
239,9472,1229,14,2024-03-02T15:30:08.227000+00:00,5
240,9472,1229,16,2024-03-02T15:30:08.227000+00:00,4
241,9472,1229,23,2024-03-02T15:30:08.227000+00:00,6
242,9472,1229,14,2024-03-02T15:30:08.672000+00:00,6
243,9472,1229,23,2024-03-02T15:30:08.672000+00:00,7
244,9472,1229,55,2024-03-02T15:30:08.672000+00:00,5
245,9472,1229,4,2024-03-02T15:30:13.916000+00:00,6
246,9472,1229,14,2024-03-02T15:30:13.916000+00:00,7
247,9472,1229,23,2024-03-02T15:30:13.916000+00:00,8
248,9472,1229,14,2024-03-02T15:30:15.550000+00:00,8
249,9472,1229,23,2024-03-02T15:30:15.550000+00:00,9
250,9472,1229,81,2024-03-02T15:30:15.550000+00:00,7
251,9472,1229,14,2024-03-02T15:30:19.310000+00:00,9
252,9472,1229,23,2024-03-02T15:30:19.310000+00:00,10
253,9472,1229,44,2024-03-02T15:30:19.310000+00:00,8
254,9472,1229,14,2024-03-02T15:30:24.608000+00:00,10
255,9472,1229,23,2024-03-02T15:30:24.608000+00:00,11
256,9472,1229,24,2024-03-02T15:30:24.608000+00:00,9
257,9472,1229,18,2024-03-02T15:30:26.910000+00:00,11
258,9472,1229,23,2024-03-02T15:30:26.910000+00:00,12
259,9472,1229,22,2024-03-02T15:30:27.374000+00:00,12
260,9472,1229,23,2024-03-02T15:30:27.374000+00:00,13
261,9472,1229,20,2024-03-02T15:30:28.161000+00:00,13
262,9472,1229,23,2024-03-02T15:30:28.161000+00:00,14
263,9472,1229,23,2024-03-02T15:30:30.104000+00:00,15
264,9472,1229,31,2024-03-02T15:30:30.104000+00:00,14
265,9472,1229,16,2024-03-02T15:31:44.184000+00:00,5
266,9472,1229,55,2024-03-02T15:31:44.184000+00:00,4
267,9472,1229,14,2024-03-02T15:32:02.084000+00:00,9
268,9472,1229,24,2024-03-02T15:32:02.084000+00:00,10
