,position,driver_number,date,session_key,meeting_key
346,9,23,2023-07-28T15:10:13.970000+00:00,9135,1216
347,13,27,2023-07-28T15:10:13.970000+00:00,9135,1216
348,4,55,2023-07-28T15:10:13.970000+00:00,9135,1216
349,3,77,2023-07-28T15:10:13.970000+00:00,9135,1216
350,5,81,2023-07-28T15:10:13.970000+00:00,9135,1216
351,1,4,2023-07-28T15:10:20.017000+00:00,9135,1216
352,2,44,2023-07-28T15:10:20.017000+00:00,9135,1216
353,5,55,2023-07-28T15:10:20.017000+00:00,9135,1216
354,3,63,2023-07-28T15:10:20.017000+00:00,9135,1216
355,4,77,2023-07-28T15:10:20.017000+00:00,9135,1216
356,6,81,2023-07-28T15:10:20.017000+00:00,9135,1216
357,9,11,2023-07-28T15:10:21.986000+00:00,9135,1216
358,8,16,2023-07-28T15:10:21.986000+00:00,9135,1216
359,2,23,2023-07-28T15:10:21.986000+00:00,9135,1216
360,3,44,2023-07-28T15:10:21.986000+00:00,9135,1216
361,6,55,2023-07-28T15:10:21.986000+00:00,9135,1216
362,4,63,2023-07-28T15:10:21.986000+00:00,9135,1216
363,5,77,2023-07-28T15:10:21.986000+00:00,9135,1216
364,7,81,2023-07-28T15:10:21.986000+00:00,9135,1216
365,13,3,2023-07-28T15:10:31.158000+00:00,9135,1216
366,10,11,2023-07-28T15:10:31.158000+00:00,9135,1216
367,3,14,2023-07-28T15:10:31.158000+00:00,9135,1216
368,9,16,2023-07-28T15:10:31.158000+00:00,9135,1216
369,12,20,2023-07-28T15:10:31.158000+00:00,9135,1216
370,11,22,2023-07-28T15:10:31.158000+00:00,9135,1216
371,14,27,2023-07-28T15:10:31.158000+00:00,9135,1216
372,4,44,2023-07-28T15:10:31.158000+00:00,9135,1216
373,7,55,2023-07-28T15:10:31.158000+00:00,9135,1216
374,5,63,2023-07-28T15:10:31.158000+00:00,9135,1216
375,6,77,2023-07-28T15:10:31.158000+00:00,9135,1216
376,8,81,2023-07-28T15:10:31.158000+00:00,9135,1216
377,2,4,2023-07-28T15:10:34.907000+00:00,9135,1216
378,4,14,2023-07-28T15:10:34.907000+00:00,9135,1216
379,3,23,2023-07-28T15:10:34.907000+00:00,9135,1216
380,5,44,2023-07-28T15:10:34.907000+00:00,9135,1216
381,8,55,2023-07-28T15:10:34.907000+00:00,9135,1216
382,6,63,2023-07-28T15:10:34.907000+00:00,9135,1216
383,7,77,2023-07-28T15:10:34.907000+00:00,9135,1216
384,1,81,2023-07-28T15:10:34.907000+00:00,9135,1216
385,17,2,2023-07-28T15:10:41.735000+00:00,9135,1216
386,14,3,2023-07-28T15:10:41.735000+00:00,9135,1216
387,11,11,2023-07-28T15:10:41.735000+00:00,9135,1216
388,10,16,2023-07-28T15:10:41.735000+00:00,9135,1216
